corruption,radius,energy
contrast,0.00781250,1.57553307e+07
contrast,0.02343750,5.61514477e+03
contrast,0.03906250,1.65830517e+03
contrast,0.05468750,5.97368887e+02
contrast,0.07031250,3.19774998e+02
contrast,0.08593750,1.96530287e+02
contrast,0.10156250,1.27886303e+02
contrast,0.11718750,8.06052848e+01
contrast,0.13281250,6.23427383e+01
contrast,0.14843750,4.35093215e+01
contrast,0.16406250,3.46183289e+01
contrast,0.17968750,2.57038107e+01
contrast,0.19531250,2.15034036e+01
contrast,0.21093750,1.78131290e+01
contrast,0.22656250,1.45215391e+01
contrast,0.24218750,1.16608244e+01
contrast,0.25781250,9.91804056e+00
contrast,0.27343750,7.16632064e+00
contrast,0.28906250,6.93295728e+00
contrast,0.30468750,5.42154993e+00
contrast,0.32031250,4.60843462e+00
contrast,0.33593750,3.08710845e+00
contrast,0.35156250,3.12042701e+00
contrast,0.36718750,2.27039287e+00
contrast,0.38281250,2.23190056e+00
contrast,0.39843750,1.66066414e+00
contrast,0.41406250,1.76818388e+00
contrast,0.42968750,1.35915856e+00
contrast,0.44531250,1.37964587e+00
contrast,0.46093750,1.11434257e+00
contrast,0.47656250,1.11758640e+00
contrast,0.49218750,9.66383768e-01
elastic_transform,0.00781250,1.80107552e+07
elastic_transform,0.02343750,1.38908372e+05
elastic_transform,0.03906250,3.79446204e+04
elastic_transform,0.05468750,1.47179588e+04
elastic_transform,0.07031250,7.77088035e+03
elastic_transform,0.08593750,4.43486556e+03
elastic_transform,0.10156250,2.81812626e+03
elastic_transform,0.11718750,1.75006313e+03
elastic_transform,0.13281250,1.27597024e+03
elastic_transform,0.14843750,8.88600029e+02
elastic_transform,0.16406250,6.83041318e+02
elastic_transform,0.17968750,4.74917939e+02
elastic_transform,0.19531250,4.02290384e+02
elastic_transform,0.21093750,2.73003044e+02
elastic_transform,0.22656250,2.29273195e+02
elastic_transform,0.24218750,1.70878510e+02
elastic_transform,0.25781250,1.43373388e+02
elastic_transform,0.27343750,1.11311167e+02
elastic_transform,0.28906250,8.88284212e+01
elastic_transform,0.30468750,7.00751008e+01
elastic_transform,0.32031250,6.35523181e+01
elastic_transform,0.33593750,4.74227117e+01
elastic_transform,0.35156250,4.58241264e+01
elastic_transform,0.36718750,3.27983485e+01
elastic_transform,0.38281250,3.16290738e+01
elastic_transform,0.39843750,2.36632096e+01
elastic_transform,0.41406250,2.38070304e+01
elastic_transform,0.42968750,1.93113393e+01
elastic_transform,0.44531250,1.97863044e+01
elastic_transform,0.46093750,1.56615425e+01
elastic_transform,0.47656250,1.54711195e+01
elastic_transform,0.49218750,1.34567819e+01
pixelate,0.00781250,1.81329971e+07
pixelate,0.02343750,1.38144752e+05
pixelate,0.03906250,3.91263703e+04
pixelate,0.05468750,1.35131974e+04
pixelate,0.07031250,6.67402731e+03
pixelate,0.08593750,3.82777454e+03
pixelate,0.10156250,2.32452376e+03
pixelate,0.11718750,1.36846228e+03
pixelate,0.13281250,9.45098077e+02
pixelate,0.14843750,6.22622442e+02
pixelate,0.16406250,4.55989934e+02
pixelate,0.17968750,3.21158005e+02
pixelate,0.19531250,2.67190145e+02
pixelate,0.21093750,1.85722298e+02
pixelate,0.22656250,1.79731330e+02
pixelate,0.24218750,1.56604224e+02
pixelate,0.25781250,1.57654910e+02
pixelate,0.27343750,1.38467936e+02
pixelate,0.28906250,1.44085053e+02
pixelate,0.30468750,1.23041677e+02
pixelate,0.32031250,1.23656585e+02
pixelate,0.33593750,1.01104538e+02
pixelate,0.35156250,1.04462344e+02
pixelate,0.36718750,7.44006869e+01
pixelate,0.38281250,6.39252528e+01
pixelate,0.39843750,3.42476997e+01
pixelate,0.41406250,5.84159814e+01
pixelate,0.42968750,4.54799150e+01
pixelate,0.44531250,5.53209667e+01
pixelate,0.46093750,4.66665040e+01
pixelate,0.47656250,5.13499332e+01
pixelate,0.49218750,4.26973082e+01
jpeg_compression,0.00781250,1.81059514e+07
jpeg_compression,0.02343750,1.39063138e+05
jpeg_compression,0.03906250,4.12489925e+04
jpeg_compression,0.05468750,1.45372713e+04
jpeg_compression,0.07031250,7.83656291e+03
jpeg_compression,0.08593750,4.76334367e+03
jpeg_compression,0.10156250,3.21682457e+03
jpeg_compression,0.11718750,1.95698623e+03
jpeg_compression,0.13281250,1.54883042e+03
jpeg_compression,0.14843750,1.07640756e+03
jpeg_compression,0.16406250,8.38965996e+02
jpeg_compression,0.17968750,6.24094722e+02
jpeg_compression,0.19531250,5.14505756e+02
jpeg_compression,0.21093750,3.96207190e+02
jpeg_compression,0.22656250,3.21012318e+02
jpeg_compression,0.24218750,2.53791406e+02
jpeg_compression,0.25781250,2.08343220e+02
jpeg_compression,0.27343750,1.49300500e+02
jpeg_compression,0.28906250,1.32429880e+02
jpeg_compression,0.30468750,9.77406270e+01
jpeg_compression,0.32031250,8.93250949e+01
jpeg_compression,0.33593750,6.05562310e+01
jpeg_compression,0.35156250,5.94569097e+01
jpeg_compression,0.36718750,4.60729210e+01
jpeg_compression,0.38281250,4.29832725e+01
jpeg_compression,0.39843750,3.28978121e+01
jpeg_compression,0.41406250,3.50915448e+01
jpeg_compression,0.42968750,2.76616401e+01
jpeg_compression,0.44531250,2.98567902e+01
jpeg_compression,0.46093750,2.38319550e+01
jpeg_compression,0.47656250,2.59399379e+01
jpeg_compression,0.49218750,2.08988789e+01
